"","contest","candidate_count","year","contested","choice","party","district"
"1","NC HOUSE OF REPRESENTATIVES DISTRICT 1",2,2012,"Yes","Bob Steinburg","REP","1"
"2","NC HOUSE OF REPRESENTATIVES DISTRICT 1",2,2012,"Yes","Bill Luton","DEM","1"
"3","NC HOUSE OF REPRESENTATIVES DISTRICT 10",2,2012,"Yes","Jim Babe Hardison","DEM","10"
"4","NC HOUSE OF REPRESENTATIVES DISTRICT 10",2,2012,"Yes","John Bell","REP","10"
"5","NC HOUSE OF REPRESENTATIVES DISTRICT 100",1,2012,"No","Tricia Cotham","DEM","100"
"6","NC HOUSE OF REPRESENTATIVES DISTRICT 101",1,2012,"No","Beverly Miller Earle","DEM","101"
"7","NC HOUSE OF REPRESENTATIVES DISTRICT 102",1,2012,"No","Becky Carney","DEM","102"
"8","NC HOUSE OF REPRESENTATIVES DISTRICT 103",1,2012,"No","Bill Brawley","REP","103"
"9","NC HOUSE OF REPRESENTATIVES DISTRICT 104",1,2012,"No","Ruth Samuelson","REP","104"
"10","NC HOUSE OF REPRESENTATIVES DISTRICT 105",1,2012,"No","Jacqueline Schaffer","REP","105"
"11","NC HOUSE OF REPRESENTATIVES DISTRICT 106",1,2012,"No","Carla Cunningham","DEM","106"
"12","NC HOUSE OF REPRESENTATIVES DISTRICT 107",1,2012,"No","Kelly Alexander","DEM","107"
"13","NC HOUSE OF REPRESENTATIVES DISTRICT 108",1,2012,"No","John A. Torbett","REP","108"
"14","NC HOUSE OF REPRESENTATIVES DISTRICT 109",2,2012,"Yes","Dodie Reese","DEM","109"
"15","NC HOUSE OF REPRESENTATIVES DISTRICT 109",2,2012,"Yes","Dana Bumgardner","REP","109"
"16","NC HOUSE OF REPRESENTATIVES DISTRICT 11",1,2012,"No","Duane Hall","DEM","11"
"17","NC HOUSE OF REPRESENTATIVES DISTRICT 110",3,2012,"Yes","Kelly E. Hastings","REP","110"
"18","NC HOUSE OF REPRESENTATIVES DISTRICT 110",3,2012,"Yes","Jamar McKoy","DEM","110"
"19","NC HOUSE OF REPRESENTATIVES DISTRICT 110",3,2012,"Yes","Lewis B. Guignard, Jr.","LIB","110"
"20","NC HOUSE OF REPRESENTATIVES DISTRICT 111",1,2012,"No","Tim Moore","REP","111"
"21","NC HOUSE OF REPRESENTATIVES DISTRICT 112",2,2012,"Yes","Mike Hager","REP","112"
"22","NC HOUSE OF REPRESENTATIVES DISTRICT 112",2,2012,"Yes","Mark Brown","DEM","112"
"23","NC HOUSE OF REPRESENTATIVES DISTRICT 113",2,2012,"Yes","George Alley","DEM","113"
"24","NC HOUSE OF REPRESENTATIVES DISTRICT 113",2,2012,"Yes","Chris Whitmire","REP","113"
"25","NC HOUSE OF REPRESENTATIVES DISTRICT 114",1,2012,"No","Susan C. Fisher","DEM","114"
"26","NC HOUSE OF REPRESENTATIVES DISTRICT 115",2,2012,"Yes","Susan E. Wilson","DEM","115"
"27","NC HOUSE OF REPRESENTATIVES DISTRICT 115",2,2012,"Yes","Nathan Ramsey","REP","115"
"28","NC HOUSE OF REPRESENTATIVES DISTRICT 116",2,2012,"Yes","Tim Moffitt","REP","116"
"29","NC HOUSE OF REPRESENTATIVES DISTRICT 116",2,2012,"Yes","Jane Whilden","DEM","116"
"30","NC HOUSE OF REPRESENTATIVES DISTRICT 117",1,2012,"No","Chuck McGrady","REP","117"
"31","NC HOUSE OF REPRESENTATIVES DISTRICT 118",2,2012,"Yes","Michele D. Presnell","REP","118"
"32","NC HOUSE OF REPRESENTATIVES DISTRICT 118",2,2012,"Yes","Ray Rapp","DEM","118"
"33","NC HOUSE OF REPRESENTATIVES DISTRICT 119",2,2012,"Yes","Joe Sam Queen","DEM","119"
"34","NC HOUSE OF REPRESENTATIVES DISTRICT 119",2,2012,"Yes","Mike Clampitt","REP","119"
"35","NC HOUSE OF REPRESENTATIVES DISTRICT 12",2,2012,"Yes","George Graham","DEM","12"
"36","NC HOUSE OF REPRESENTATIVES DISTRICT 12",2,2012,"Yes","Jim Dancy","REP","12"
"37","NC HOUSE OF REPRESENTATIVES DISTRICT 120",1,2012,"No","Roger West","REP","120"
"38","NC HOUSE OF REPRESENTATIVES DISTRICT 13",2,2012,"Yes","Patricia (Pat) McElraft","REP","13"
"39","NC HOUSE OF REPRESENTATIVES DISTRICT 13",2,2012,"Yes","Wyatt Rike","LIB","13"
"40","NC HOUSE OF REPRESENTATIVES DISTRICT 14",1,2012,"No","George G. Cleveland","REP","14"
"41","NC HOUSE OF REPRESENTATIVES DISTRICT 15",1,2012,"No","Phillip Shepard","REP","15"
"42","NC HOUSE OF REPRESENTATIVES DISTRICT 16",1,2012,"No","Chris Millis","REP","16"
"43","NC HOUSE OF REPRESENTATIVES DISTRICT 17",2,2012,"Yes","Frank Iler","REP","17"
"44","NC HOUSE OF REPRESENTATIVES DISTRICT 17",2,2012,"Yes","Lundia Washington","DEM","17"
"45","NC HOUSE OF REPRESENTATIVES DISTRICT 18",2,2012,"Yes","Susi Hamilton","DEM","18"
"46","NC HOUSE OF REPRESENTATIVES DISTRICT 18",2,2012,"Yes","Louis Harmati","REP","18"
"47","NC HOUSE OF REPRESENTATIVES DISTRICT 19",2,2012,"Yes","Emilie Swearingen","DEM","19"
"48","NC HOUSE OF REPRESENTATIVES DISTRICT 19",2,2012,"Yes","Ted Davis, Jr.","REP","19"
"49","NC HOUSE OF REPRESENTATIVES DISTRICT 2",2,2012,"Yes","W. A. (Winkie) Wilkins","DEM","2"
"50","NC HOUSE OF REPRESENTATIVES DISTRICT 2",2,2012,"Yes","Timothy Karan","REP","2"
"51","NC HOUSE OF REPRESENTATIVES DISTRICT 20",2,2012,"Yes","Tom Gale","DEM","20"
"52","NC HOUSE OF REPRESENTATIVES DISTRICT 20",2,2012,"Yes","Rick Catlin","REP","20"
"53","NC HOUSE OF REPRESENTATIVES DISTRICT 21",1,2012,"No","Larry M. Bell","DEM","21"
"54","NC HOUSE OF REPRESENTATIVES DISTRICT 22",1,2012,"No","William Brisson","DEM","22"
"55","NC HOUSE OF REPRESENTATIVES DISTRICT 23",1,2012,"No","Joe Tolson","DEM","23"
"56","NC HOUSE OF REPRESENTATIVES DISTRICT 24",1,2012,"No","Jean Farmer Butterfield","DEM","24"
"57","NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2012,"Yes","Jeffrey L. (Jeff) Collins","REP","25"
"58","NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2012,"Yes","Janice (Jan) Mills","DEM","25"
"59","NC HOUSE OF REPRESENTATIVES DISTRICT 26",2,2012,"Yes","Jenifer Bubenik","DEM","26"
"60","NC HOUSE OF REPRESENTATIVES DISTRICT 26",2,2012,"Yes","Leo Daughtry","REP","26"
"61","NC HOUSE OF REPRESENTATIVES DISTRICT 27",2,2012,"Yes","Jesse Shearin","LIB","27"
"62","NC HOUSE OF REPRESENTATIVES DISTRICT 27",2,2012,"Yes","Michael H. Wray","DEM","27"
"63","NC HOUSE OF REPRESENTATIVES DISTRICT 28",1,2012,"No","James H. (J.H.) Langdon, Jr.","REP","28"
"64","NC HOUSE OF REPRESENTATIVES DISTRICT 29",1,2012,"No","Larry D. Hall","DEM","29"
"65","NC HOUSE OF REPRESENTATIVES DISTRICT 3",2,2012,"Yes","Michael Speciale","REP","3"
"66","NC HOUSE OF REPRESENTATIVES DISTRICT 3",2,2012,"Yes","Robert B. Cayton","DEM","3"
"67","NC HOUSE OF REPRESENTATIVES DISTRICT 30",1,2012,"No","Paul Luebke","DEM","30"
"68","NC HOUSE OF REPRESENTATIVES DISTRICT 31",1,2012,"No","H. M. (Mickey) Michaux, Jr.","DEM","31"
"69","NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2012,"Yes","Scott Bynum","REP","32"
"70","NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2012,"Yes","Nathan Baskerville","DEM","32"
