"","contest","candidate_count","year","contested","choice","party","district"
"71","NC HOUSE OF REPRESENTATIVES DISTRICT 33",1,2012,"No","Rosa U. Gill","DEM","33"
"72","NC HOUSE OF REPRESENTATIVES DISTRICT 34",3,2012,"Yes","Deborah K. Ross","DEM","34"
"73","NC HOUSE OF REPRESENTATIVES DISTRICT 34",3,2012,"Yes","Apryl Major (Write-in)","","34"
"74","NC HOUSE OF REPRESENTATIVES DISTRICT 34",3,2012,"Yes","Write-in (miscellaneous)","","34"
"75","NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2012,"Yes","Lori B. Millberg","DEM","35"
"76","NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2012,"Yes","Chris Malone","REP","35"
"77","NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2012,"Yes","Nelson Dollar","REP","36"
"78","NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2012,"Yes","Lisa Baker","DEM","36"
"79","NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2012,"Yes","Jason Ora Wunsch","DEM","37"
"80","NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2012,"Yes","Paul Stam","REP","37"
"81","NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2012,"Yes","Shane Murphy","UNA","38"
"82","NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2012,"Yes","Yvonne Lewis Holley","DEM","38"
"83","NC HOUSE OF REPRESENTATIVES DISTRICT 39",1,2012,"No","Darren Jackson","DEM","39"
"84","NC HOUSE OF REPRESENTATIVES DISTRICT 4",3,2012,"Yes","Rebecca H. Judge","DEM","4"
"85","NC HOUSE OF REPRESENTATIVES DISTRICT 4",3,2012,"Yes","Jimmy Dixon","REP","4"
"86","NC HOUSE OF REPRESENTATIVES DISTRICT 4",3,2012,"Yes","Kevin E. Hayes","LIB","4"
"87","NC HOUSE OF REPRESENTATIVES DISTRICT 40",3,2012,"Yes","William (Watt) Jones","DEM","40"
"88","NC HOUSE OF REPRESENTATIVES DISTRICT 40",3,2012,"Yes","Ron Reale","LIB","40"
"89","NC HOUSE OF REPRESENTATIVES DISTRICT 40",3,2012,"Yes","Marilyn Avila","REP","40"
"90","NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2012,"Yes","Tom Murry","REP","41"
"91","NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2012,"Yes","Jim Messina","DEM","41"
"92","NC HOUSE OF REPRESENTATIVES DISTRICT 42",2,2012,"Yes","Frank Racz","REP","42"
"93","NC HOUSE OF REPRESENTATIVES DISTRICT 42",2,2012,"Yes","Marvin W. Lucas","DEM","42"
"94","NC HOUSE OF REPRESENTATIVES DISTRICT 43",2,2012,"Yes","Diana Carroll","REP","43"
"95","NC HOUSE OF REPRESENTATIVES DISTRICT 43",2,2012,"Yes","Elmer Floyd","DEM","43"
"96","NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2012,"Yes","Richard D. Button","REP","44"
"97","NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2012,"Yes","Rick Glazier","DEM","44"
"98","NC HOUSE OF REPRESENTATIVES DISTRICT 45",2,2012,"Yes","Eddie Dees","DEM","45"
"99","NC HOUSE OF REPRESENTATIVES DISTRICT 45",2,2012,"Yes","John Szoka","REP","45"
"100","NC HOUSE OF REPRESENTATIVES DISTRICT 46",2,2012,"Yes","Gaston (G.L.) Pridgen","REP","46"
"101","NC HOUSE OF REPRESENTATIVES DISTRICT 46",2,2012,"Yes","Ken Waddell","DEM","46"
"102","NC HOUSE OF REPRESENTATIVES DISTRICT 47",1,2012,"No","Charles Graham","DEM","47"
"103","NC HOUSE OF REPRESENTATIVES DISTRICT 48",1,2012,"No","Garland E. Pierce","DEM","48"
"104","NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2012,"Yes","Keith Karlsson","DEM","49"
"105","NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2012,"Yes","Jim Fulghum","REP","49"
"106","NC HOUSE OF REPRESENTATIVES DISTRICT 5",1,2012,"No","Annie Ward Mobley","DEM","5"
"107","NC HOUSE OF REPRESENTATIVES DISTRICT 50",2,2012,"Yes","Rod Chaney","REP","50"
"108","NC HOUSE OF REPRESENTATIVES DISTRICT 50",2,2012,"Yes","Valerie Foushee","DEM","50"
"109","NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2012,"Yes","Michael (Mike) Stone","REP","51"
"110","NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2012,"Yes","W. P. (Bill) Tatum","DEM","51"
"111","NC HOUSE OF REPRESENTATIVES DISTRICT 52",1,2012,"No","James L. (Jamie) Boles, Jr.","REP","52"
"112","NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2012,"Yes","Joe E. Langley","DEM","53"
"113","NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2012,"Yes","David Lewis","REP","53"
"114","NC HOUSE OF REPRESENTATIVES DISTRICT 54",2,2012,"Yes","Cathy Wright","REP","54"
"115","NC HOUSE OF REPRESENTATIVES DISTRICT 54",2,2012,"Yes","Deb McManus","DEM","54"
"116","NC HOUSE OF REPRESENTATIVES DISTRICT 55",2,2012,"Yes","Dale Nelson","DEM","55"
"117","NC HOUSE OF REPRESENTATIVES DISTRICT 55",2,2012,"Yes","Mark Brody","REP","55"
"118","NC HOUSE OF REPRESENTATIVES DISTRICT 56",2,2012,"Yes","Verla C. Insko","DEM","56"
"119","NC HOUSE OF REPRESENTATIVES DISTRICT 56",2,2012,"Yes","Karrie Mead","REP","56"
"120","NC HOUSE OF REPRESENTATIVES DISTRICT 57",1,2012,"No","Mary Price (Pricey) Harrison","DEM","57"
"121","NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2012,"Yes","Olga Morgan Wright","REP","58"
"122","NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2012,"Yes","Alma Adams","DEM","58"
"123","NC HOUSE OF REPRESENTATIVES DISTRICT 59",1,2012,"No","Jon Hardister","REP","59"
"124","NC HOUSE OF REPRESENTATIVES DISTRICT 6",2,2012,"Yes","Mattie Lawson","REP","6"
"125","NC HOUSE OF REPRESENTATIVES DISTRICT 6",2,2012,"Yes","Paul Tine","DEM","6"
"126","NC HOUSE OF REPRESENTATIVES DISTRICT 60",1,2012,"No","Marcus Brandon","DEM","60"
"127","NC HOUSE OF REPRESENTATIVES DISTRICT 61",2,2012,"Yes","Ron Weatherford","DEM","61"
"128","NC HOUSE OF REPRESENTATIVES DISTRICT 61",2,2012,"Yes","John Faircloth","REP","61"
"129","NC HOUSE OF REPRESENTATIVES DISTRICT 62",2,2012,"Yes","John M. Blust","REP","62"
"130","NC HOUSE OF REPRESENTATIVES DISTRICT 62",2,2012,"Yes","Kent P. Wilsey","LIB","62"
"131","NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2012,"Yes","Patty Philipps","DEM","63"
"132","NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2012,"Yes","Stephen M. Ross","REP","63"
"133","NC HOUSE OF REPRESENTATIVES DISTRICT 64",2,2012,"Yes","Morris McAdoo","DEM","64"
"134","NC HOUSE OF REPRESENTATIVES DISTRICT 64",2,2012,"Yes","Dennis Riddell","REP","64"
"135","NC HOUSE OF REPRESENTATIVES DISTRICT 65",2,2012,"Yes","William E. Osborne","DEM","65"
"136","NC HOUSE OF REPRESENTATIVES DISTRICT 65",2,2012,"Yes","Bert Jones","REP","65"
"137","NC HOUSE OF REPRESENTATIVES DISTRICT 66",1,2012,"No","Ken Goodman","DEM","66"
"138","NC HOUSE OF REPRESENTATIVES DISTRICT 67",2,2012,"Yes","Kevin Furr","DEM","67"
"139","NC HOUSE OF REPRESENTATIVES DISTRICT 67",2,2012,"Yes","Justin P. Burr","REP","67"
"140","NC HOUSE OF REPRESENTATIVES DISTRICT 68",2,2012,"Yes","Kenneth J. Baker","DEM","68"
"141","NC HOUSE OF REPRESENTATIVES DISTRICT 68",2,2012,"Yes","Craig Horn","REP","68"
"142","NC HOUSE OF REPRESENTATIVES DISTRICT 69",1,2012,"No","Dean Arp","REP","69"
"143","NC HOUSE OF REPRESENTATIVES DISTRICT 7",1,2012,"No","Angela R. Bryant","DEM","7"
"144","NC HOUSE OF REPRESENTATIVES DISTRICT 70",1,2012,"No","Pat B. Hurley","REP","70"
"145","NC HOUSE OF REPRESENTATIVES DISTRICT 71",2,2012,"Yes","Evelyn Terry","DEM","71"
"146","NC HOUSE OF REPRESENTATIVES DISTRICT 71",2,2012,"Yes","Kris McCann","REP","71"
"147","NC HOUSE OF REPRESENTATIVES DISTRICT 72",2,2012,"Yes","Charlie Mellies","REP","72"
"148","NC HOUSE OF REPRESENTATIVES DISTRICT 72",2,2012,"Yes","Edward (Ed) Hanes, Jr.","DEM","72"
"149","NC HOUSE OF REPRESENTATIVES DISTRICT 73",2,2012,"Yes","William Stinson","DEM","73"
"150","NC HOUSE OF REPRESENTATIVES DISTRICT 73",2,2012,"Yes","Mark W. Hollo","REP","73"
"151","NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2012,"Yes","David W. Moore","DEM","74"
"152","NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2012,"Yes","Debra Conrad","REP","74"
"153","NC HOUSE OF REPRESENTATIVES DISTRICT 75",1,2012,"No","Donny C. Lambeth","REP","75"
"154","NC HOUSE OF REPRESENTATIVES DISTRICT 76",1,2012,"No","Carl Ford","REP","76"
"155","NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2012,"Yes","William H. Battermann","DEM","77"
"156","NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2012,"Yes","Harry Warren","REP","77"
"157","NC HOUSE OF REPRESENTATIVES DISTRICT 78",2,2012,"Yes","Allen Ray McNeill","REP","78"
"158","NC HOUSE OF REPRESENTATIVES DISTRICT 78",2,2012,"Yes","Gerald C. Parker","DEM","78"
"159","NC HOUSE OF REPRESENTATIVES DISTRICT 79",2,2012,"Yes","Julia Craven Howard","REP","79"
"160","NC HOUSE OF REPRESENTATIVES DISTRICT 79",2,2012,"Yes","Cristina Victoria Vazquez","DEM","79"
"161","NC HOUSE OF REPRESENTATIVES DISTRICT 8",2,2012,"Yes","Susan Martin","REP","8"
"162","NC HOUSE OF REPRESENTATIVES DISTRICT 8",2,2012,"Yes","Mark Bibbs","DEM","8"
"163","NC HOUSE OF REPRESENTATIVES DISTRICT 80",2,2012,"Yes","Loretta M. Martin","DEM","80"
"164","NC HOUSE OF REPRESENTATIVES DISTRICT 80",2,2012,"Yes","Jerry C. Dockham","REP","80"
"165","NC HOUSE OF REPRESENTATIVES DISTRICT 81",1,2012,"No","Rayne Brown","REP","81"
"166","NC HOUSE OF REPRESENTATIVES DISTRICT 82",1,2012,"No","Larry G. Pittman","REP","82"
"167","NC HOUSE OF REPRESENTATIVES DISTRICT 83",2,2012,"Yes","Linda P. Johnson","REP","83"
"168","NC HOUSE OF REPRESENTATIVES DISTRICT 83",2,2012,"Yes","Jerome Fleming","DEM","83"
"169","NC HOUSE OF REPRESENTATIVES DISTRICT 84",2,2012,"Yes","Rena W. Turner","REP","84"
"170","NC HOUSE OF REPRESENTATIVES DISTRICT 84",2,2012,"Yes","Gene Mitchell Mahaffey","DEM","84"
"171","NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2012,"Yes","Mitch Gillespie","REP","85"
"172","NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2012,"Yes","JR Edwards","DEM","85"
"173","NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2012,"Yes","Jim Cates","DEM","86"
"174","NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2012,"Yes","Hugh Blackwell","REP","86"
"175","NC HOUSE OF REPRESENTATIVES DISTRICT 87",1,2012,"No","Edgar V. Starnes","REP","87"
"176","NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2012,"Yes","Martha Alexander","DEM","88"
"177","NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2012,"Yes","Rob Bryan","REP","88"
"178","NC HOUSE OF REPRESENTATIVES DISTRICT 89",1,2012,"No","Mitchell Smith Setzer","REP","89"
"179","NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2012,"Yes","Marian N. McLawhorn","DEM","9"
"180","NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2012,"Yes","Brian Brown","REP","9"
"181","NC HOUSE OF REPRESENTATIVES DISTRICT 90",1,2012,"No","Sarah Stevens","REP","90"
"182","NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2012,"Yes","Nelson Cole","DEM","91"
"183","NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2012,"Yes","Bryan Holloway","REP","91"
"184","NC HOUSE OF REPRESENTATIVES DISTRICT 92",2,2012,"Yes","Robin Bradford","DEM","92"
"185","NC HOUSE OF REPRESENTATIVES DISTRICT 92",2,2012,"Yes","Charles Jeter","REP","92"
"186","NC HOUSE OF REPRESENTATIVES DISTRICT 93",2,2012,"Yes","Jonathan C. Jordan","REP","93"
"187","NC HOUSE OF REPRESENTATIVES DISTRICT 93",2,2012,"Yes","Cullie Tarleton","DEM","93"
"188","NC HOUSE OF REPRESENTATIVES DISTRICT 94",1,2012,"No","Jeffrey Elmore","REP","94"
"189","NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2012,"Yes","Barbara Orr (Write-in)","","95"
"190","NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2012,"Yes","Write-in (miscellaneous)","","95"
"191","NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2012,"Yes","C. Robert Brawley","REP","95"
"192","NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2012,"Yes","Cliff Moone","DEM","96"
"193","NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2012,"Yes","Andy Wells","REP","96"
"194","NC HOUSE OF REPRESENTATIVES DISTRICT 97",1,2012,"No","Jason R. Saine","REP","97"
"195","NC HOUSE OF REPRESENTATIVES DISTRICT 98",1,2012,"No","Thom Tillis","REP","98"
"196","NC HOUSE OF REPRESENTATIVES DISTRICT 99",1,2012,"No","Rodney W. Moore","DEM","99"
