"","contest","candidate_count","year","contested","choice","party","district"
"57","NC HOUSE OF REPRESENTATIVES DISTRICT 21",1,2008,"No","Larry M. Bell","DEM","21"
"58","NC HOUSE OF REPRESENTATIVES DISTRICT 22",1,2008,"No","William Brisson","DEM","22"
"59","NC HOUSE OF REPRESENTATIVES DISTRICT 23",2,2008,"Yes","Garland Shepheard","REP","23"
"60","NC HOUSE OF REPRESENTATIVES DISTRICT 23",2,2008,"Yes","Joe Tolson","DEM","23"
"61","NC HOUSE OF REPRESENTATIVES DISTRICT 24",1,2008,"No","Jean Farmer Butterfield","DEM","24"
"62","NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2008,"Yes","W.B. Bullock","REP","25"
"63","NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2008,"Yes","Randy Stewart","DEM","25"
"64","NC HOUSE OF REPRESENTATIVES DISTRICT 26",2,2008,"Yes","Jimmy F. Garner","DEM","26"
"65","NC HOUSE OF REPRESENTATIVES DISTRICT 26",2,2008,"Yes","Leo Daughtry","REP","26"
"66","NC HOUSE OF REPRESENTATIVES DISTRICT 27",1,2008,"No","Michael H. Wray","DEM","27"
"67","NC HOUSE OF REPRESENTATIVES DISTRICT 28",1,2008,"No","James H. Langdon, Jr.","REP","28"
"68","NC HOUSE OF REPRESENTATIVES DISTRICT 29",2,2008,"Yes","Justin Lallinger","LIB","29"
"69","NC HOUSE OF REPRESENTATIVES DISTRICT 29",2,2008,"Yes","Larry D. Hall","DEM","29"
"70","NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2008,"Yes","Norman Sanderson","REP","3"
"71","NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2008,"Yes","Herb Sobel","LIB","3"
"72","NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2008,"Yes","Alice G. Underhill","DEM","3"
"73","NC HOUSE OF REPRESENTATIVES DISTRICT 30",2,2008,"Yes","Sean Haugh","LIB","30"
"74","NC HOUSE OF REPRESENTATIVES DISTRICT 30",2,2008,"Yes","Paul Luebke","DEM","30"
"75","NC HOUSE OF REPRESENTATIVES DISTRICT 31",1,2008,"No","H.M. (Mickey) Michaux","DEM","31"
"76","NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2008,"Yes","Barbara Howe","LIB","32"
"77","NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2008,"Yes","Jim Crawford","DEM","32"
"78","NC HOUSE OF REPRESENTATIVES DISTRICT 33",2,2008,"Yes","Dan Blue","DEM","33"
"79","NC HOUSE OF REPRESENTATIVES DISTRICT 33",2,2008,"Yes","Paul F. Terrell, III","REP","33"
"80","NC HOUSE OF REPRESENTATIVES DISTRICT 34",2,2008,"Yes","Grier Martin","DEM","34"
"81","NC HOUSE OF REPRESENTATIVES DISTRICT 34",2,2008,"Yes","J.H. Ross","REP","34"
"82","NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2008,"Yes","Eric Weaver","REP","35"
"83","NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2008,"Yes","Jennifer Weiss","DEM","35"
"84","NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2008,"Yes","Nelson Dollar","REP","36"
"85","NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2008,"Yes","Al Swanstrom","DEM","36"
"86","NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2008,"Yes","Paul Stam","REP","37"
"87","NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2008,"Yes","Ed Ridpath","DEM","37"
"88","NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2008,"Yes","Susan J. Hogarth","LIB","38"
"89","NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2008,"Yes","Deborah K. Ross","DEM","38"
"90","NC HOUSE OF REPRESENTATIVES DISTRICT 39",2,2008,"Yes","Linda Coleman","DEM","39"
"91","NC HOUSE OF REPRESENTATIVES DISTRICT 39",2,2008,"Yes","Duane Cutlip","REP","39"
"92","NC HOUSE OF REPRESENTATIVES DISTRICT 4",1,2008,"No","Russell E. Tucker","DEM","4"
"93","NC HOUSE OF REPRESENTATIVES DISTRICT 40",2,2008,"Yes","Stan Morse","DEM","40"
"94","NC HOUSE OF REPRESENTATIVES DISTRICT 40",2,2008,"Yes","Marilyn Avila","REP","40"
"95","NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2008,"Yes","Bryan Gossage","REP","41"
"96","NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2008,"Yes","Ty Harrell","DEM","41"
"97","NC HOUSE OF REPRESENTATIVES DISTRICT 42",1,2008,"No","Marvin W. Lucas","DEM","42"
"98","NC HOUSE OF REPRESENTATIVES DISTRICT 43",2,2008,"Yes","Elmer Floyd","DEM","43"
"99","NC HOUSE OF REPRESENTATIVES DISTRICT 43",2,2008,"Yes","WRITE-IN","","43"
"100","NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2008,"Yes","Margaret Highsmith Dickson","DEM","44"
"101","NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2008,"Yes","Lou  Huddleston","REP","44"
"102","NC HOUSE OF REPRESENTATIVES DISTRICT 45",1,2008,"No","Rick Glazier","DEM","45"
"103","NC HOUSE OF REPRESENTATIVES DISTRICT 46",1,2008,"No","Douglas Y. Yongue","DEM","46"
"104","NC HOUSE OF REPRESENTATIVES DISTRICT 47",1,2008,"No","Ronnie Sutton","DEM","47"
"105","NC HOUSE OF REPRESENTATIVES DISTRICT 48",1,2008,"No","Garland E. Pierce","DEM","48"
"106","NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2008,"Yes","Keith Shearon","REP","49"
"107","NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2008,"Yes","Lucy T. Allen","DEM","49"
"108","NC HOUSE OF REPRESENTATIVES DISTRICT 5",1,2008,"No","Annie Ward Mobley","DEM","5"
"109","NC HOUSE OF REPRESENTATIVES DISTRICT 50",1,2008,"No","Bill Faison","DEM","50"
"110","NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2008,"Yes","Jimmy L. Love, Sr.","DEM","51"
"111","NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2008,"Yes","Linda Shook","REP","51"
"112","NC HOUSE OF REPRESENTATIVES DISTRICT 52",2,2008,"Yes","Jamie Boles","REP","52"
"113","NC HOUSE OF REPRESENTATIVES DISTRICT 52",2,2008,"Yes","Betty Mangum","DEM","52"
"114","NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2008,"Yes","Joseph Lindsey (Joe) Tart","DEM","53"
"115","NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2008,"Yes","David Lewis","REP","53"
"116","NC HOUSE OF REPRESENTATIVES DISTRICT 54",1,2008,"No","Joe Hackney","DEM","54"
"117","NC HOUSE OF REPRESENTATIVES DISTRICT 55",1,2008,"No","W.A. (Winkie) Wilkins","DEM","55"
"118","NC HOUSE OF REPRESENTATIVES DISTRICT 56",1,2008,"No","Verla C. Insko","DEM","56"
"119","NC HOUSE OF REPRESENTATIVES DISTRICT 57",1,2008,"No","Mary Price (Pricey) Harrison","DEM","57"
"120","NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2008,"Yes","Olga Morgan Wright","REP","58"
"121","NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2008,"Yes","Alma Adams","DEM","58"
"122","NC HOUSE OF REPRESENTATIVES DISTRICT 59",2,2008,"Yes","Maggie Jeffus","DEM","59"
"123","NC HOUSE OF REPRESENTATIVES DISTRICT 59",2,2008,"Yes","Jim Rumley","REP","59"
"124","NC HOUSE OF REPRESENTATIVES DISTRICT 6",1,2008,"No","Arthur Williams","DEM","6"
"125","NC HOUSE OF REPRESENTATIVES DISTRICT 60",1,2008,"No","Earl Jones","DEM","60"
"126","NC HOUSE OF REPRESENTATIVES DISTRICT 61",1,2008,"No","Laura I. Wiley","REP","61"
"127","NC HOUSE OF REPRESENTATIVES DISTRICT 62",1,2008,"No","John M. Blust","REP","62"
"128","NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2008,"Yes","Celo Faucette","REP","63"
"129","NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2008,"Yes","Alice Bordsen","DEM","63"
"130","NC HOUSE OF REPRESENTATIVES DISTRICT 64",2,2008,"Yes","Henry Vines","DEM","64"
"131","NC HOUSE OF REPRESENTATIVES DISTRICT 64",2,2008,"Yes","Cary Dale Allred","REP","64"
"132","NC HOUSE OF REPRESENTATIVES DISTRICT 65",1,2008,"No","Nelson Cole","DEM","65"
"133","NC HOUSE OF REPRESENTATIVES DISTRICT 66",1,2008,"No","Melanie Wade Goodwin","DEM","66"
"134","NC HOUSE OF REPRESENTATIVES DISTRICT 67",1,2008,"No","Justin P. Burr","REP","67"
"135","NC HOUSE OF REPRESENTATIVES DISTRICT 68",2,2008,"Yes","Curtis Blackwood","REP","68"
"136","NC HOUSE OF REPRESENTATIVES DISTRICT 68",2,2008,"Yes","C. Michael (Mike) Cognac","DEM","68"
"137","NC HOUSE OF REPRESENTATIVES DISTRICT 69",2,2008,"Yes","John L. Barker","REP","69"
"138","NC HOUSE OF REPRESENTATIVES DISTRICT 69",2,2008,"Yes","Pryor Gibson","DEM","69"
"139","NC HOUSE OF REPRESENTATIVES DISTRICT 7",1,2008,"No","Angela R. Bryant","DEM","7"
"140","NC HOUSE OF REPRESENTATIVES DISTRICT 70",2,2008,"Yes","Pat B. Hurley","REP","70"
"141","NC HOUSE OF REPRESENTATIVES DISTRICT 70",2,2008,"Yes","Bev O'Brien","DEM","70"
"142","NC HOUSE OF REPRESENTATIVES DISTRICT 71",2,2008,"Yes","Larry Womble","DEM","71"
"143","NC HOUSE OF REPRESENTATIVES DISTRICT 71",2,2008,"Yes","Bobby Richmond","LIB","71"
"144","NC HOUSE OF REPRESENTATIVES DISTRICT 72",1,2008,"No","Earline W. Parmon","DEM","72"
"145","NC HOUSE OF REPRESENTATIVES DISTRICT 73",2,2008,"Yes","Larry R. Brown","REP","73"
"146","NC HOUSE OF REPRESENTATIVES DISTRICT 73",2,2008,"Yes","Cary Morris","LIB","73"
"147","NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2008,"Yes","Dale R. Folwell","REP","74"
"148","NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2008,"Yes","Wade Boyles","DEM","74"
"149","NC HOUSE OF REPRESENTATIVES DISTRICT 75",2,2008,"Yes","Dan Bennett","DEM","75"
"150","NC HOUSE OF REPRESENTATIVES DISTRICT 75",2,2008,"Yes","William C. (Bill) McGee","REP","75"
"151","NC HOUSE OF REPRESENTATIVES DISTRICT 76",1,2008,"No","Fred F. Steen, II","REP","76"
"152","NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2008,"Yes","Ada M. Fisher","REP","77"
"153","NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2008,"Yes","Lorene T. Coates","DEM","77"
"154","NC HOUSE OF REPRESENTATIVES DISTRICT 78",1,2008,"No","Harold J. Brubaker","REP","78"
"155","NC HOUSE OF REPRESENTATIVES DISTRICT 79",1,2008,"No","Julia C. Howard","REP","79"
"156","NC HOUSE OF REPRESENTATIVES DISTRICT 8",1,2008,"No","Edith D. Warren","DEM","8"
"157","NC HOUSE OF REPRESENTATIVES DISTRICT 80",1,2008,"No","Jerry C. Dockham","REP","80"
"158","NC HOUSE OF REPRESENTATIVES DISTRICT 81",2,2008,"Yes","Rayne Brown","REP","81"
"159","NC HOUSE OF REPRESENTATIVES DISTRICT 81",2,2008,"Yes","L. Hugh Holliman","DEM","81"
"160","NC HOUSE OF REPRESENTATIVES DISTRICT 82",2,2008,"Yes","Jeff Barnhart","REP","82"
"161","NC HOUSE OF REPRESENTATIVES DISTRICT 82",2,2008,"Yes","Wayne Troutman","DEM","82"
"162","NC HOUSE OF REPRESENTATIVES DISTRICT 83",2,2008,"Yes","Linda P. Johnson","REP","83"
"163","NC HOUSE OF REPRESENTATIVES DISTRICT 83",2,2008,"Yes","Barry G. Richards","DEM","83"
"164","NC HOUSE OF REPRESENTATIVES DISTRICT 84",1,2008,"No","Phillip Frye","REP","84"
"165","NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2008,"Yes","Chuck Aldridge","DEM","85"
"166","NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2008,"Yes","Mitch Gillespie","REP","85"
"167","NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2008,"Yes","Hugh Blackwell","REP","86"
"168","NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2008,"Yes","Walt Church, Sr.","DEM","86"
"169","NC HOUSE OF REPRESENTATIVES DISTRICT 87",3,2008,"Yes","Edgar V. Starnes","REP","87"
"170","NC HOUSE OF REPRESENTATIVES DISTRICT 87",3,2008,"Yes","Timothy J. (T.J.) Rohr","LIB","87"
"171","NC HOUSE OF REPRESENTATIVES DISTRICT 87",3,2008,"Yes","John A. Forlines, Jr.","DEM","87"
"172","NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2008,"Yes","Ray Warren","DEM","88"
"173","NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2008,"Yes","Mark W. Hollo","REP","88"
"174","NC HOUSE OF REPRESENTATIVES DISTRICT 89",1,2008,"No","Mitchell Smith Setzer","REP","89"
"175","NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2008,"Yes","Ginny Cooper","REP","9"
"176","NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2008,"Yes","Marian N. McLawhorn","DEM","9"
"177","NC HOUSE OF REPRESENTATIVES DISTRICT 90",2,2008,"Yes","Sarah Stevens","REP","90"
"178","NC HOUSE OF REPRESENTATIVES DISTRICT 90",2,2008,"Yes","Jim Harrell","DEM","90"
"179","NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2008,"Yes","Ed Gambill","DEM","91"
"180","NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2008,"Yes","Bryan Holloway","REP","91"
"181","NC HOUSE OF REPRESENTATIVES DISTRICT 92",2,2008,"Yes","Darrell G. McCormick","REP","92"
"182","NC HOUSE OF REPRESENTATIVES DISTRICT 92",2,2008,"Yes","Ric Marshall","DEM","92"
"183","NC HOUSE OF REPRESENTATIVES DISTRICT 93",3,2008,"Yes","Daniel F. Soucek","REP","93"
"184","NC HOUSE OF REPRESENTATIVES DISTRICT 93",3,2008,"Yes","Cullie Tarleton","DEM","93"
"185","NC HOUSE OF REPRESENTATIVES DISTRICT 93",3,2008,"Yes","Jeff Cannon","LIB","93"
"186","NC HOUSE OF REPRESENTATIVES DISTRICT 94",2,2008,"Yes","Shirley Blackburn Randleman","REP","94"
"187","NC HOUSE OF REPRESENTATIVES DISTRICT 94",2,2008,"Yes","Larry Pendry","DEM","94"
"188","NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2008,"Yes","WRITE-IN","","95"
"189","NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2008,"Yes","Jeffrey Ober","LIB","95"
"190","NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2008,"Yes","Grey Mills","REP","95"
"191","NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2008,"Yes","Mark K. Hilton","REP","96"
"192","NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2008,"Yes","Lawrence G. Hollar","LIB","96"
"193","NC HOUSE OF REPRESENTATIVES DISTRICT 97",1,2008,"No","Johnathan Rhyne","REP","97"
"194","NC HOUSE OF REPRESENTATIVES DISTRICT 98",1,2008,"No","Thom Tillis","REP","98"
"195","NC HOUSE OF REPRESENTATIVES DISTRICT 99",2,2008,"Yes","Dempsey Miller","REP","99"
"196","NC HOUSE OF REPRESENTATIVES DISTRICT 99",2,2008,"Yes","Nick Mackey","DEM","99"
