"","contest","candidate_count","year","contested","choice","party","district"
"1","HOUSE DISTRICT 01",1,2000,"No","W. C. (Bill) Owens, Jr.","DEM",11111111111
"2","HOUSE DISTRICT 02",2,2000,"Yes","Zeno L. Edwards","DEM",11111111111
"3","HOUSE DISTRICT 02",2,2000,"Yes","Stan Deatherage","REP",11111111111
"4","HOUSE DISTRICT 03",3,2000,"Yes","Bill Harper","UNA",11111111111
"5","HOUSE DISTRICT 03",3,2000,"Yes","John M. Nichols","REP",11111111111
"6","HOUSE DISTRICT 03",3,2000,"Yes","Alice Graham Underhill","DEM",11111111111
"7","HOUSE DISTRICT 04",3,2000,"Yes","Ronald L. Smith","DEM",11111111111
"8","HOUSE DISTRICT 04",3,2000,"Yes","Jean R. Preston","REP",11111111111
"9","HOUSE DISTRICT 04",3,2000,"Yes","Jonathan Robinson","REP",11111111111
"10","HOUSE DISTRICT 05",1,2000,"No","Howard Hunter, Jr.","DEM",11111111111
"11","HOUSE DISTRICT 06",2,2000,"Yes","Gene Rogers","DEM",11111111111
"12","HOUSE DISTRICT 06",2,2000,"Yes","Edwin W. Congleton","REP",11111111111
"13","HOUSE DISTRICT 07",1,2000,"No","John D. Hall","DEM",11111111111
"14","HOUSE DISTRICT 08",1,2000,"No","Edith D. Warren","DEM",11111111111
"15","HOUSE DISTRICT 09",2,2000,"Yes","Wayne Holloman","REP",11111111111
"16","HOUSE DISTRICT 09",2,2000,"Yes","Marian N. McLawhorn","DEM",11111111111
"17","HOUSE DISTRICT 10",2,2000,"Yes","Sherwood Fountain","REP",11111111111
"18","HOUSE DISTRICT 10",2,2000,"Yes","Russell E. Tucker","DEM",11111111111
"19","HOUSE DISTRICT 11",3,2000,"Yes","Phil Baddour, Jr.","DEM",11111111111
"20","HOUSE DISTRICT 11",3,2000,"Yes","Mike Todaro","LIB",11111111111
"21","HOUSE DISTRICT 11",3,2000,"Yes","Willie Ray Starling","REP",11111111111
"22","HOUSE DISTRICT 12",2,2000,"Yes","Ted Brown","REP",11111111111
"23","HOUSE DISTRICT 12",2,2000,"Yes","Nurham Warwick","DEM",11111111111
"24","HOUSE DISTRICT 13",1,2000,"No","Danny McComas","REP",11111111111
