"","contest","candidate_count","year","contested","choice","party","district"
"25","HOUSE DISTRICT 14",4,2000,"Yes","Dewey L. Hill","DEM",11111111111
"26","HOUSE DISTRICT 14",4,2000,"Yes","E. David Redwine","DEM",11111111111
"27","HOUSE DISTRICT 14",4,2000,"Yes","Robert (Bob) Quinn","REP",11111111111
"28","HOUSE DISTRICT 14",4,2000,"Yes","Bill Caster","REP",11111111111
"29","HOUSE DISTRICT 15",2,2000,"Yes","James S. (Sam) Ellis","REP",11111111111
"30","HOUSE DISTRICT 15",2,2000,"Yes","Thomas B. Hunt","DEM",11111111111
"31","HOUSE DISTRICT 16",2,2000,"Yes","Douglas Y. Yongue","DEM",11111111111
"32","HOUSE DISTRICT 16",2,2000,"Yes","C. Linwood Faulk","REP",11111111111
"33","HOUSE DISTRICT 17",3,2000,"Yes","Mary E. McAllister","DEM",11111111111
"34","HOUSE DISTRICT 17",3,2000,"Yes","George E. Boggs","REP",11111111111
"35","HOUSE DISTRICT 17",3,2000,"Yes","Marvin W. Lucas","DEM",11111111111
"36","HOUSE DISTRICT 18",3,2000,"Yes","Christian G. Davis","LIB",11111111111
"37","HOUSE DISTRICT 18",3,2000,"Yes","Mia Morris","REP",11111111111
"38","HOUSE DISTRICT 18",3,2000,"Yes","John W. (Bill) Hurley","DEM",11111111111
"39","HOUSE DISTRICT 19",4,2000,"Yes","Bobby Ray Hall","REP",11111111111
"40","HOUSE DISTRICT 19",4,2000,"Yes","Don Davis","REP",11111111111
"41","HOUSE DISTRICT 19",4,2000,"Yes","Leslie Cox","DEM",11111111111
"42","HOUSE DISTRICT 19",4,2000,"Yes","Larry Upchurch","DEM",11111111111
"43","HOUSE DISTRICT 20",2,2000,"Yes","Billy Creech","REP",11111111111
"44","HOUSE DISTRICT 20",2,2000,"Yes","Richard Price","DEM",11111111111
"45","HOUSE DISTRICT 21",2,2000,"Yes","Daniel T. (Dan) Blue, Jr.","DEM",11111111111
"46","HOUSE DISTRICT 21",2,2000,"Yes","Jesse Halliday","LIB",11111111111
"47","HOUSE DISTRICT 22",4,2000,"Yes","Audrey M. Smith","REP",11111111111
"48","HOUSE DISTRICT 22",4,2000,"Yes","Tom Howe","LIB",11111111111
"49","HOUSE DISTRICT 22",4,2000,"Yes","Jim Crawford","DEM",11111111111
"50","HOUSE DISTRICT 22",4,2000,"Yes","Gordon P. Allen","DEM",11111111111
"51","HOUSE DISTRICT 23",5,2000,"Yes","Robert Dorsey","LIB",11111111111
"52","HOUSE DISTRICT 23",5,2000,"Yes","Paul Luebke","DEM",11111111111
"53","HOUSE DISTRICT 23",5,2000,"Yes","Paul Miller","DEM",11111111111
"54","HOUSE DISTRICT 23",5,2000,"Yes","H. M. (Mickey) Michaux","DEM",11111111111
"55","HOUSE DISTRICT 23",5,2000,"Yes","Ray Ubinger","LIB",11111111111
"56","HOUSE DISTRICT 24",5,2000,"Yes","John H. Bauman","LIB",11111111111
"57","HOUSE DISTRICT 24",5,2000,"Yes","Verla Insko","DEM",11111111111
"58","HOUSE DISTRICT 24",5,2000,"Yes","Rod Chaney","REP",11111111111
"59","HOUSE DISTRICT 24",5,2000,"Yes","Joe Hackney","DEM",11111111111
"60","HOUSE DISTRICT 24",5,2000,"Yes","William Towne","REP",11111111111
"61","HOUSE DISTRICT 25",6,2000,"Yes","Nelson Cole","DEM",11111111111
"62","HOUSE DISTRICT 25",6,2000,"Yes","W. B. (Junior) Teague","REP",11111111111
"63","HOUSE DISTRICT 25",6,2000,"Yes","Danny Davis","DEM",11111111111
"64","HOUSE DISTRICT 25",6,2000,"Yes","John M. Glenn","DEM",11111111111
"65","HOUSE DISTRICT 25",6,2000,"Yes","Cary D. Allred","REP",11111111111
"66","HOUSE DISTRICT 25",6,2000,"Yes","Bert Jones","REP",11111111111
"67","HOUSE DISTRICT 26",2,2000,"Yes","Jim Rumley","REP",11111111111
"68","HOUSE DISTRICT 26",2,2000,"Yes","Alma S. Adams","DEM",11111111111
"69","HOUSE DISTRICT 27",2,2000,"Yes","John M. Blust","REP",11111111111
"70","HOUSE DISTRICT 27",2,2000,"Yes","Stephen W. Wood","RFM",11111111111
"71","HOUSE DISTRICT 28",1,2000,"No","Flossie Boyd-McIntyre","DEM",11111111111
"72","HOUSE DISTRICT 29",1,2000,"No","Joanne W. Bowie","REP",11111111111
"73","HOUSE DISTRICT 30",3,2000,"Yes","Matilda Phillips","DEM",11111111111
"74","HOUSE DISTRICT 30",3,2000,"Yes","Arlie F. Culp","REP",11111111111
"75","HOUSE DISTRICT 30",3,2000,"Yes","Victoria D. Prevo","LIB",11111111111
"76","HOUSE DISTRICT 31",2,2000,"Yes","Ellen Vann Crews","DEM",11111111111
"77","HOUSE DISTRICT 31",2,2000,"Yes","Richard T. Morgan","REP",11111111111
"78","HOUSE DISTRICT 32",1,2000,"No","Wayne Goodwin","DEM",11111111111
"79","HOUSE DISTRICT 33",1,2000,"No","Pryor Gibson","DEM",11111111111
"80","HOUSE DISTRICT 34",2,2000,"Yes","Fern Shubert","REP",11111111111
"81","HOUSE DISTRICT 34",2,2000,"Yes","Max Melton","DEM",11111111111
"82","HOUSE DISTRICT 35",2,2000,"Yes","Lorene T. Coates","DEM",11111111111
"83","HOUSE DISTRICT 35",2,2000,"Yes","Charlotte A. Gardner","REP",11111111111
"84","HOUSE DISTRICT 36",2,2000,"Yes","James B. (Jim) Black","DEM",11111111111
"85","HOUSE DISTRICT 36",2,2000,"Yes","Cheryl Jones","REP",11111111111
"86","HOUSE DISTRICT 37",3,2000,"Yes","Cindy Akins","REP",11111111111
"87","HOUSE DISTRICT 37",3,2000,"Yes","Paul Burks","LIB",11111111111
"88","HOUSE DISTRICT 37",3,2000,"Yes","L. Hugh Holliman","DEM",11111111111
"89","HOUSE DISTRICT 38",2,2000,"Yes","Tommy Lawrence","DEM",11111111111
"90","HOUSE DISTRICT 38",2,2000,"Yes","Harold J. Brubaker","REP",11111111111
"91","HOUSE DISTRICT 39",1,2000,"No","Lyons Gray","REP",11111111111
"92","HOUSE DISTRICT 40",5,2000,"Yes","Dan Hense","DEM",11111111111
"93","HOUSE DISTRICT 40",5,2000,"Yes","Bert Wood","DEM",11111111111
"94","HOUSE DISTRICT 40",5,2000,"Yes","Gene Wilson","REP",11111111111
"95","HOUSE DISTRICT 40",5,2000,"Yes","William S. (Bill) Hiatt","REP",11111111111
"96","HOUSE DISTRICT 40",5,2000,"Yes","Rex Baker","REP",11111111111
"97","HOUSE DISTRICT 41",2,2000,"Yes","George M. Holmes","REP",11111111111
"98","HOUSE DISTRICT 41",2,2000,"Yes","R. Tracy Walker","REP",11111111111
"99","HOUSE DISTRICT 42",2,2000,"Yes","Frank Mitchell","REP",11111111111
"100","HOUSE DISTRICT 42",2,2000,"Yes","J. Wayne Kahl","DEM",11111111111
"101","HOUSE DISTRICT 43",1,2000,"No","Mitchel Smith Setzer","REP",11111111111
"102","HOUSE DISTRICT 44",2,2000,"Yes","Daniel W. Barefoot","DEM",11111111111
"103","HOUSE DISTRICT 44",2,2000,"Yes","Tom Rogers","REP",11111111111
"104","HOUSE DISTRICT 45",4,2000,"Yes","David Clark, Jr.","DEM",11111111111
"105","HOUSE DISTRICT 45",4,2000,"Yes","Mark Hilton","REP",11111111111
"106","HOUSE DISTRICT 45",4,2000,"Yes","Columbus J. Turner","DEM",11111111111
"107","HOUSE DISTRICT 45",4,2000,"Yes","Joe L. Kiser","REP",11111111111
"108","HOUSE DISTRICT 46",3,2000,"Yes","Charles Monroe Buchanan","REP",11111111111
"109","HOUSE DISTRICT 46",3,2000,"Yes","Gregg Thompson","REP",11111111111
"110","HOUSE DISTRICT 46",3,2000,"Yes","Joe Delk","DEM",11111111111
"111","HOUSE DISTRICT 47",2,2000,"Yes","Earl A. Cook","REP",11111111111
"112","HOUSE DISTRICT 47",2,2000,"Yes","Walter G. Church, Sr.","DEM",11111111111
"113","HOUSE DISTRICT 48",6,2000,"Yes","Debbie A. Clary","REP",11111111111
"114","HOUSE DISTRICT 48",6,2000,"Yes","Andy Dedmon","DEM",11111111111
"115","HOUSE DISTRICT 48",6,2000,"Yes","John Weatherly","REP",11111111111
"116","HOUSE DISTRICT 48",6,2000,"Yes","Connie Goforth-Greene","DEM",11111111111
"117","HOUSE DISTRICT 48",6,2000,"Yes","Jim Horn","DEM",11111111111
"118","HOUSE DISTRICT 48",6,2000,"Yes","Dennis Davis","REP",11111111111
"119","HOUSE DISTRICT 49",2,2000,"Yes","David Huskins","DEM",11111111111
"120","HOUSE DISTRICT 49",2,2000,"Yes","Mitch Gillespie","REP",11111111111
"121","HOUSE DISTRICT 50",1,2000,"No","Larry T. Justus","REP",11111111111
"122","HOUSE DISTRICT 51",9,2000,"Yes","Jerold F. Johnson","RFM",11111111111
"123","HOUSE DISTRICT 51",9,2000,"Yes","Betty B. Williams","REP",11111111111
"124","HOUSE DISTRICT 51",9,2000,"Yes","Lanier Cansler","REP",11111111111
"125","HOUSE DISTRICT 51",9,2000,"Yes","J. Ray Elingburg","DEM",11111111111
"126","HOUSE DISTRICT 51",9,2000,"Yes","Martin L. Nesbitt","DEM",11111111111
"127","HOUSE DISTRICT 51",9,2000,"Yes","Kristina Michele Murphy","RFM",11111111111
"128","HOUSE DISTRICT 51",9,2000,"Yes","Barbara Field","DEM",11111111111
"129","HOUSE DISTRICT 51",9,2000,"Yes","Wilma M. Sherrill","REP",11111111111
"130","HOUSE DISTRICT 51",9,2000,"Yes","Lance Kurland","RFM",11111111111
"131","HOUSE DISTRICT 52",4,2000,"Yes","Margaret M. Carpenter","REP",11111111111
"132","HOUSE DISTRICT 52",4,2000,"Yes","R. Phillip Haire","DEM",11111111111
"133","HOUSE DISTRICT 52",4,2000,"Yes","Mary Ann Enloe","DEM",11111111111
"134","HOUSE DISTRICT 52",4,2000,"Yes","Jesse Sigmon","REP",11111111111
"135","HOUSE DISTRICT 53",2,2000,"Yes","W. C. (Sonny) Burrell","DEM",11111111111
"136","HOUSE DISTRICT 53",2,2000,"Yes","Roger West","REP",11111111111
"137","HOUSE DISTRICT 54",2,2000,"Yes","Drew Saunders","DEM",11111111111
"138","HOUSE DISTRICT 54",2,2000,"Yes","Wes Southern","REP",11111111111
"139","HOUSE DISTRICT 55",1,2000,"No","Ed McMahan","REP",11111111111
"140","HOUSE DISTRICT 56",1,2000,"No","Martha Alexander","DEM",11111111111
"141","HOUSE DISTRICT 57",1,2000,"No","Connie Wilson","REP",11111111111
"142","HOUSE DISTRICT 58",1,2000,"No","Ruth M. Easterling","DEM",11111111111
"143","HOUSE DISTRICT 59",1,2000,"No","W. Pete Cunningham","DEM",11111111111
"144","HOUSE DISTRICT 60",2,2000,"Yes","Beverly Earle","DEM",11111111111
"145","HOUSE DISTRICT 60",2,2000,"Yes","Barbara Underwood","REP",11111111111
"146","HOUSE DISTRICT 61",2,2000,"Yes","James A. (Art) Pope","REP",11111111111
"147","HOUSE DISTRICT 61",2,2000,"Yes","M. Jackson Nichols","DEM",11111111111
"148","HOUSE DISTRICT 62",3,2000,"Yes","David M. Miner","REP",11111111111
"149","HOUSE DISTRICT 62",3,2000,"Yes","Ian M. Sands","LIB",11111111111
"150","HOUSE DISTRICT 62",3,2000,"Yes","Gerald W. Holleman","DEM",11111111111
"151","HOUSE DISTRICT 63",2,2000,"Yes","Nancy H. Brown","REP",11111111111
"152","HOUSE DISTRICT 63",2,2000,"Yes","Jennifer Weiss","DEM",11111111111
"153","HOUSE DISTRICT 64",3,2000,"Yes","Thomas A. (Tom) Luther","LIB",11111111111
"154","HOUSE DISTRICT 64",3,2000,"Yes","Robert J. Hensley, Jr.","DEM",11111111111
"155","HOUSE DISTRICT 64",3,2000,"Yes","Charles L. Moorefield, Jr.","REP",11111111111
"156","HOUSE DISTRICT 65",1,2000,"No","Rick L. Eddins","REP",11111111111
"157","HOUSE DISTRICT 66",2,2000,"Yes","Donald J. Biles","LIB",11111111111
"158","HOUSE DISTRICT 66",2,2000,"Yes","Larry Womble","DEM",11111111111
"159","HOUSE DISTRICT 67",1,2000,"No","Warren (Pete) Oldham","DEM",11111111111
"160","HOUSE DISTRICT 68",1,2000,"No","Trudi Walend","REP",11111111111
"161","HOUSE DISTRICT 69",2,2000,"Yes","David Nathan Gable","LIB",11111111111
"162","HOUSE DISTRICT 69",2,2000,"Yes","Jim Gulley","REP",11111111111
"163","HOUSE DISTRICT 70",1,2000,"No","Milton F. Fitch, Jr.","DEM",11111111111
"164","HOUSE DISTRICT 71",2,2000,"Yes","Wade Ellison","REP",11111111111
"165","HOUSE DISTRICT 71",2,2000,"Yes","Joe P. Tolson","DEM",11111111111
"166","HOUSE DISTRICT 72",2,2000,"Yes","Mary P. Wells","DEM",11111111111
"167","HOUSE DISTRICT 72",2,2000,"Yes","Gene Arnold","REP",11111111111
"168","HOUSE DISTRICT 73",2,2000,"Yes","Michael Adamson","DEM",11111111111
"169","HOUSE DISTRICT 73",2,2000,"Yes","Wayne Sexton","REP",11111111111
"170","HOUSE DISTRICT 74",1,2000,"No","Julia C. Howard","REP",11111111111
"171","HOUSE DISTRICT 75",2,2000,"Yes","James F. Mabe","REP",11111111111
"172","HOUSE DISTRICT 75",2,2000,"Yes","Alex Warner","DEM",11111111111
"173","HOUSE DISTRICT 76",2,2000,"Yes","Michael Harrington","REP",11111111111
"174","HOUSE DISTRICT 76",2,2000,"Yes","John D. Bridgeman","DEM",11111111111
"175","HOUSE DISTRICT 77",1,2000,"No","Carolyn B. Russell","REP",11111111111
"176","HOUSE DISTRICT 78",1,2000,"No","Stan Fox","DEM",11111111111
"177","HOUSE DISTRICT 79",1,2000,"No","William L. Wainwright","DEM",11111111111
"178","HOUSE DISTRICT 80",2,2000,"Yes","Robert Grady","REP",11111111111
"179","HOUSE DISTRICT 80",2,2000,"Yes","Charles Wiggins","DEM",11111111111
"180","HOUSE DISTRICT 81",2,2000,"Yes","Hector H. Henry II","DEM",11111111111
"181","HOUSE DISTRICT 81",2,2000,"Yes","Jeff Barnhart","REP",11111111111
"182","HOUSE DISTRICT 82",1,2000,"No","Bobby Barbee, Sr.","REP",11111111111
"183","HOUSE DISTRICT 83",1,2000,"No","Eugene McCombs","REP",11111111111
"184","HOUSE DISTRICT 84",2,2000,"Yes","Joseph M. Coltrane, Jr.","DEM",11111111111
"185","HOUSE DISTRICT 84",2,2000,"Yes","Michael (Mike) Decker","REP",11111111111
"186","HOUSE DISTRICT 85",1,2000,"No","Ronnie Sutton","DEM",11111111111
"187","HOUSE DISTRICT 86",2,2000,"Yes","Cheryl Byrd","REP",11111111111
"188","HOUSE DISTRICT 86",2,2000,"Yes","Bill Culpepper","DEM",11111111111
"189","HOUSE DISTRICT 87",1,2000,"No","Donald A. Bonner","DEM",11111111111
"190","HOUSE DISTRICT 88",1,2000,"No","Theresa Esposito","REP",11111111111
"191","HOUSE DISTRICT 89",5,2000,"Yes","Mary Jarrell","DEM",11111111111
"192","HOUSE DISTRICT 89",5,2000,"Yes","Tom Bailey","LIB",11111111111
"193","HOUSE DISTRICT 89",5,2000,"Yes","Dottie Salerno","REP",11111111111
"194","HOUSE DISTRICT 89",5,2000,"Yes","Maggie Jeffus","DEM",11111111111
"195","HOUSE DISTRICT 89",5,2000,"Yes","Joanne  Sharpe","REP",11111111111
"196","HOUSE DISTRICT 90",2,2000,"Yes","Linda P. Johnson","REP",11111111111
"197","HOUSE DISTRICT 90",2,2000,"Yes","Leonard B. Sossamon, Jr.","DEM",11111111111
"198","HOUSE DISTRICT 91",2,2000,"Yes","Joe Young","LIB",11111111111
"199","HOUSE DISTRICT 91",2,2000,"Yes","Edgar V. Starnes","REP",11111111111
"200","HOUSE DISTRICT 92",2,2000,"Yes","James R. (Russell) Capps","REP",11111111111
"201","HOUSE DISTRICT 92",2,2000,"Yes","Dorothy G. Bowles","DEM",11111111111
"202","HOUSE DISTRICT 93",2,2000,"Yes","John Melvin Rayfield","REP",11111111111
"203","HOUSE DISTRICT 93",2,2000,"Yes","Thomas Bishko","LIB",11111111111
"204","HOUSE DISTRICT 94",2,2000,"Yes","Jerry C. Dockham","REP",11111111111
"205","HOUSE DISTRICT 94",2,2000,"Yes","Ken Younts","LIB",11111111111
"206","HOUSE DISTRICT 95",2,2000,"Yes","Leo Daughtry","REP",11111111111
"207","HOUSE DISTRICT 95",2,2000,"Yes","Jim Johnson","DEM",11111111111
"208","HOUSE DISTRICT 96",2,2000,"Yes","Edd Nye","DEM",11111111111
"209","HOUSE DISTRICT 96",2,2000,"Yes","Al Freimark","REP",11111111111
"210","HOUSE DISTRICT 97",2,2000,"Yes","Larry M. Bell","DEM",11111111111
"211","HOUSE DISTRICT 97",2,2000,"Yes","John Sherman Best","REP",11111111111
"212","HOUSE DISTRICT 98",1,2000,"No","Thomas E. Wright","DEM",11111111111
