"","year","contest","candidate_count","contested","choice","party","district"
"1",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 100",1,"No","Tricia Cotham","DEM","100"
"2",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 101",1,"No","Beverly Miller Earle","DEM","101"
"3",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 102",1,"No","Becky Carney","DEM","102"
"4",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 103",1,"No","Bill Brawley","REP","103"
"5",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 104",1,"No","Ruth Samuelson","REP","104"
"6",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 105",1,"No","Jacqueline Schaffer","REP","105"
"7",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 106",1,"No","Carla Cunningham","DEM","106"
"8",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 107",1,"No","Kelly Alexander","DEM","107"
"9",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 108",1,"No","John A. Torbett","REP","108"
"10",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 11",1,"No","Duane Hall","DEM","11"
"11",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 111",1,"No","Tim Moore","REP","111"
"12",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 114",1,"No","Susan C. Fisher","DEM","114"
"13",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 117",1,"No","Chuck McGrady","REP","117"
"14",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 120",1,"No","Roger West","REP","120"
"15",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 14",1,"No","George G. Cleveland","REP","14"
"16",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 15",1,"No","Phillip Shepard","REP","15"
"17",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 16",1,"No","Chris Millis","REP","16"
"18",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 21",1,"No","Larry M. Bell","DEM","21"
"19",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 22",1,"No","William Brisson","DEM","22"
"20",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 23",1,"No","Joe Tolson","DEM","23"
"21",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 24",1,"No","Jean Farmer Butterfield","DEM","24"
"22",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 28",1,"No","James H. (J.H.) Langdon, Jr.","REP","28"
"23",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 29",1,"No","Larry D. Hall","DEM","29"
"24",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 30",1,"No","Paul Luebke","DEM","30"
"25",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 31",1,"No","H. M. (Mickey) Michaux, Jr.","DEM","31"
"26",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 33",1,"No","Rosa U. Gill","DEM","33"
"27",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 39",1,"No","Darren Jackson","DEM","39"
"28",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 47",1,"No","Charles Graham","DEM","47"
"29",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 48",1,"No","Garland E. Pierce","DEM","48"
"30",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 5",1,"No","Annie Ward Mobley","DEM","5"
"31",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 52",1,"No","James L. (Jamie) Boles, Jr.","REP","52"
"32",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 57",1,"No","Mary Price (Pricey) Harrison","DEM","57"
"33",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 59",1,"No","Jon Hardister","REP","59"
"34",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 60",1,"No","Marcus Brandon","DEM","60"
"35",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 66",1,"No","Ken Goodman","DEM","66"
"36",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 69",1,"No","Dean Arp","REP","69"
"37",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 7",1,"No","Angela R. Bryant","DEM","7"
"38",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 70",1,"No","Pat B. Hurley","REP","70"
"39",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 75",1,"No","Donny C. Lambeth","REP","75"
"40",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 76",1,"No","Carl Ford","REP","76"
"41",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 81",1,"No","Rayne Brown","REP","81"
"42",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 82",1,"No","Larry G. Pittman","REP","82"
"43",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 87",1,"No","Edgar V. Starnes","REP","87"
"44",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 89",1,"No","Mitchell Smith Setzer","REP","89"
"45",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 90",1,"No","Sarah Stevens","REP","90"
"46",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 94",1,"No","Jeffrey Elmore","REP","94"
"47",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 97",1,"No","Jason R. Saine","REP","97"
"48",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 98",1,"No","Thom Tillis","REP","98"
"49",2012,"NC HOUSE OF REPRESENTATIVES DISTRICT 99",1,"No","Rodney W. Moore","DEM","99"
