"","year","contest","candidate_count","contested","choice","party","district"
"1",2000,"HOUSE DISTRICT 01",1,"No","W. C. (Bill) Owens, Jr.","DEM",11111111111
"2",2000,"HOUSE DISTRICT 05",1,"No","Howard Hunter, Jr.","DEM",11111111111
"3",2000,"HOUSE DISTRICT 07",1,"No","John D. Hall","DEM",11111111111
"4",2000,"HOUSE DISTRICT 08",1,"No","Edith D. Warren","DEM",11111111111
"5",2000,"HOUSE DISTRICT 13",1,"No","Danny McComas","REP",11111111111
"6",2000,"HOUSE DISTRICT 28",1,"No","Flossie Boyd-McIntyre","DEM",11111111111
"7",2000,"HOUSE DISTRICT 29",1,"No","Joanne W. Bowie","REP",11111111111
"8",2000,"HOUSE DISTRICT 32",1,"No","Wayne Goodwin","DEM",11111111111
"9",2000,"HOUSE DISTRICT 33",1,"No","Pryor Gibson","DEM",11111111111
"10",2000,"HOUSE DISTRICT 39",1,"No","Lyons Gray","REP",11111111111
"11",2000,"HOUSE DISTRICT 43",1,"No","Mitchel Smith Setzer","REP",11111111111
"12",2000,"HOUSE DISTRICT 50",1,"No","Larry T. Justus","REP",11111111111
"13",2000,"HOUSE DISTRICT 55",1,"No","Ed McMahan","REP",11111111111
"14",2000,"HOUSE DISTRICT 56",1,"No","Martha Alexander","DEM",11111111111
"15",2000,"HOUSE DISTRICT 57",1,"No","Connie Wilson","REP",11111111111
"16",2000,"HOUSE DISTRICT 58",1,"No","Ruth M. Easterling","DEM",11111111111
"17",2000,"HOUSE DISTRICT 59",1,"No","W. Pete Cunningham","DEM",11111111111
"18",2000,"HOUSE DISTRICT 65",1,"No","Rick L. Eddins","REP",11111111111
"19",2000,"HOUSE DISTRICT 67",1,"No","Warren (Pete) Oldham","DEM",11111111111
"20",2000,"HOUSE DISTRICT 68",1,"No","Trudi Walend","REP",11111111111
"21",2000,"HOUSE DISTRICT 70",1,"No","Milton F. Fitch, Jr.","DEM",11111111111
"22",2000,"HOUSE DISTRICT 74",1,"No","Julia C. Howard","REP",11111111111
"23",2000,"HOUSE DISTRICT 77",1,"No","Carolyn B. Russell","REP",11111111111
"24",2000,"HOUSE DISTRICT 78",1,"No","Stan Fox","DEM",11111111111
"25",2000,"HOUSE DISTRICT 79",1,"No","William L. Wainwright","DEM",11111111111
"26",2000,"HOUSE DISTRICT 82",1,"No","Bobby Barbee, Sr.","REP",11111111111
"27",2000,"HOUSE DISTRICT 83",1,"No","Eugene McCombs","REP",11111111111
"28",2000,"HOUSE DISTRICT 85",1,"No","Ronnie Sutton","DEM",11111111111
"29",2000,"HOUSE DISTRICT 87",1,"No","Donald A. Bonner","DEM",11111111111
"30",2000,"HOUSE DISTRICT 88",1,"No","Theresa Esposito","REP",11111111111
"31",2000,"HOUSE DISTRICT 98",1,"No","Thomas E. Wright","DEM",11111111111
